date,strategyAsOfDate,priceType,source,dataPolicy,market,code,name,close,ma5,ma20,ma60,ma240,rise60,volume,avgVolume20,volumeRatio,adx,kline,theme,trend,fund,themeHit,priceVol,score,strictOk,status,reason,priceVerified,officialTradeDate,officialClose,yahooCloseBeforeAudit,officialSource,pattern,neckline,support,target,stage,entryBreakout,entryPullback,chaseRangeLow,chaseRangeHigh,observationEntry,limitPrice,stopLoss,riskPct,winRate,distanceFromNecklinePct,distanceFromPrevHighPct,forbiddenChase,planStatus,confirmConditions
2026-06-03,2026-06-03,官方收盤確認價,TWSE / TPEx 官方收盤資料校驗 + Yahoo Finance 日K,台股收盤價以官方交易所資料校驗；不使用盤中未完成K,上櫃,3491,昇達科,2020.0,2091.0,1887.5,1660.92,848.94,71.19,636648,2059982,0.31,47.22,一般K,鏡頭 車用 光學,True,False,True,True,3,False,預備單：接近成形，等待確認,趨勢多頭、題材命中、價量條件足,True,2026-06-03,2020.0,2020.0,TPEx,接近成形,2200.0,1793.12,3275.0,接近成形＋可觀察,2244.0,2200.0,2244.0,2311.32,2244.0,2244.0,2134.0,-5.64,中,-8.18,8.18,False,預備單，等待確認條件,收盤站上頸線 2200.0 至少2%；成交量>=20日均量2倍；不可長上影；隔日不跌破頸線；距離頸線>5%禁止進場
2026-06-03,2026-06-03,官方收盤確認價,TWSE / TPEx 官方收盤資料校驗 + Yahoo Finance 日K,台股收盤價以官方交易所資料校驗；不使用盤中未完成K,上櫃,6290,良維,366.5,355.8,300.3,257.71,172.96,69.68,5210576,6741995,0.77,43.19,一般K,連接器 伺服器 電源線 AI,True,False,True,True,3,False,預備單：接近成形，等待確認,趨勢多頭、題材命中、價量條件足,True,2026-06-03,366.5,366.5,TPEx,旗型整理突破,375.0,285.29,559.5,接近成形＋可觀察,382.5,375.0,382.5,393.98,382.5,382.5,363.75,0.75,中,-2.27,2.27,False,預備單，等待確認條件,收盤站上頸線 375.0 至少2%；成交量>=20日均量2倍；不可長上影；隔日不跌破頸線；距離頸線>5%禁止進場
2026-06-03,2026-06-03,官方收盤確認價,TWSE / TPEx 官方收盤資料校驗 + Yahoo Finance 日K,台股收盤價以官方交易所資料校驗；不使用盤中未完成K,上櫃,4543,萬在,45.4,42.82,39.57,36.33,29.23,66.91,4453847,762700,5.84,32.34,一般K,,True,True,False,True,3,False,預備單：接近成形，等待確認,趨勢多頭、量能放大、價量條件足,True,2026-06-03,45.4,45.4,TPEx,旗型整理突破,47.95,37.59,69.3,接近成形＋可觀察,48.91,47.95,48.91,50.38,48.91,48.91,46.51,-2.45,中,-5.32,5.32,False,預備單，等待確認條件,收盤站上頸線 47.95 至少2%；成交量>=20日均量2倍；不可長上影；隔日不跌破頸線；距離頸線>5%禁止進場
2026-06-03,2026-06-03,官方收盤確認價,TWSE / TPEx 官方收盤資料校驗 + Yahoo Finance 日K,台股收盤價以官方交易所資料校驗；不使用盤中未完成K,上市,2353,宏碁,43.4,38.37,31.26,28.77,29.21,65.65,302276701,66330607,4.56,67.69,下影線,,True,True,False,True,3,False,預備單：接近成形，等待確認,趨勢多頭、量能放大、價量條件足,False,,,,,旗型整理突破,44.2,29.7,62.75,接近成形＋可觀察,45.08,44.2,45.08,46.44,45.08,45.08,42.87,1.21,中,-1.81,1.81,False,預備單，等待確認條件,收盤站上頸線 44.2 至少2%；成交量>=20日均量2倍；不可長上影；隔日不跌破頸線；距離頸線>5%禁止進場
2026-06-03,2026-06-03,官方收盤確認價,TWSE / TPEx 官方收盤資料校驗 + Yahoo Finance 日K,台股收盤價以官方交易所資料校驗；不使用盤中未完成K,上市,2377,微星,146.5,138.3,120.0,101.86,113.76,57.87,46682134,47274295,0.99,51.16,一般K,AI 伺服器 電競 主機板,True,False,True,True,3,False,預備單：接近成形，等待確認,趨勢多頭、題材命中、價量條件足,False,,,,,旗型整理突破,152.5,114.0,220.0,接近成形＋可觀察,155.55,152.5,155.55,160.22,155.55,155.55,147.92,-0.97,中,-3.93,3.93,False,預備單，等待確認條件,收盤站上頸線 152.5 至少2%；成交量>=20日均量2倍；不可長上影；隔日不跌破頸線；距離頸線>5%禁止進場
2026-06-03,2026-06-03,官方收盤確認價,TWSE / TPEx 官方收盤資料校驗 + Yahoo Finance 日K,台股收盤價以官方交易所資料校驗；不使用盤中未完成K,上櫃,3071,協禧,34.4,33.04,31.07,29.45,24.06,51.54,2066402,997226,2.07,30.4,一般K,,True,True,False,True,3,False,預備單：接近成形，等待確認,趨勢多頭、量能放大、價量條件足,True,2026-06-03,34.4,34.4,TPEx,旗型整理突破,36.2,29.51,50.05,接近成形＋可觀察,36.92,36.2,36.92,38.03,36.92,36.92,35.11,-2.08,中,-4.97,4.97,False,預備單，等待確認條件,收盤站上頸線 36.2 至少2%；成交量>=20日均量2倍；不可長上影；隔日不跌破頸線；距離頸線>5%禁止進場
2026-06-03,2026-06-03,官方收盤確認價,TWSE / TPEx 官方收盤資料校驗 + Yahoo Finance 日K,台股收盤價以官方交易所資料校驗；不使用盤中未完成K,上市,2324,仁寶,47.05,40.39,32.95,31.16,30.46,50.32,400438674,157766852,2.54,44.95,紅K突破,,True,True,False,True,3,False,預備單：接近成形，等待確認,趨勢多頭、量能放大、價量條件足,False,,,,,接近成形,47.75,31.31,68.75,接近成形＋可觀察,48.7,47.75,48.7,50.17,48.7,48.7,46.32,1.56,中,-1.47,1.47,False,預備單，等待確認條件,收盤站上頸線 47.75 至少2%；成交量>=20日均量2倍；不可長上影；隔日不跌破頸線；距離頸線>5%禁止進場
2026-06-03,2026-06-03,官方收盤確認價,TWSE / TPEx 官方收盤資料校驗 + Yahoo Finance 日K,台股收盤價以官方交易所資料校驗；不使用盤中未完成K,上市,2382,廣達,417.0,367.5,331.77,313.38,288.59,47.87,109292267,46855580,2.33,15.86,下影線,AI 伺服器 代工 電子製造,True,True,True,False,3,False,預備單：接近成形，等待確認,趨勢多頭、量能放大、題材命中,False,,,,,旗型整理突破,438.0,315.19,604.0,接近成形＋可觀察,446.76,438.0,446.76,460.16,446.76,446.76,424.86,-1.88,中,-4.79,4.79,False,預備單，等待確認條件,收盤站上頸線 438.0 至少2%；成交量>=20日均量2倍；不可長上影；隔日不跌破頸線；距離頸線>5%禁止進場
2026-06-03,2026-06-03,官方收盤確認價,TWSE / TPEx 官方收盤資料校驗 + Yahoo Finance 日K,台股收盤價以官方交易所資料校驗；不使用盤中未完成K,上櫃,8088,品安,66.3,62.52,57.36,54.16,44.53,46.84,16448224,7633737,2.15,30.87,紅K突破,,True,True,False,True,3,False,預備單：接近成形，等待確認,趨勢多頭、量能放大、價量條件足,True,2026-06-03,66.3,66.3,TPEx,旗型整理突破,66.8,54.5,90.6,接近成形＋可觀察,68.14,66.8,68.14,70.18,68.14,68.14,64.8,2.27,中,-0.75,0.75,False,預備單，等待確認條件,收盤站上頸線 66.8 至少2%；成交量>=20日均量2倍；不可長上影；隔日不跌破頸線；距離頸線>5%禁止進場
2026-06-03,2026-06-03,官方收盤確認價,TWSE / TPEx 官方收盤資料校驗 + Yahoo Finance 日K,台股收盤價以官方交易所資料校驗；不使用盤中未完成K,上櫃,3689,湧德,142.0,137.1,126.47,123.96,109.47,44.16,9808143,4751830,2.06,32.66,一般K,,True,True,False,True,3,False,預備單：接近成形，等待確認,趨勢多頭、量能放大、價量條件足,True,2026-06-03,142.0,142.0,TPEx,旗型整理突破,145.0,120.15,194.3,接近成形＋可觀察,147.9,145.0,147.9,152.34,147.9,147.9,140.65,0.95,中,-2.07,2.74,False,預備單，等待確認條件,收盤站上頸線 145.0 至少2%；成交量>=20日均量2倍；不可長上影；隔日不跌破頸線；距離頸線>5%禁止進場
